category,is_page_list,url
"Clôture, panneau, grillage, brise vue",False,https://www.castorama.fr/jardin-et-terrasse/cloture-panneau-grillage-brise-vue/cat_id_2424.cat
"Abri de jardin, garage, carport et rangement extérieur",False,https://www.castorama.fr/jardin-et-terrasse/abri-de-jardin-garage-carport-et-rangement/cat_id_2.cat
Outil motorisé de jardin,False,https://www.castorama.fr/jardin-et-terrasse/tondeuse-et-outil-motorise/cat_id_1456.cat
Terrasse et sol extérieur,False,https://www.castorama.fr/jardin-et-terrasse/terrasse-et-sol-exterieur/cat_id_3267.cat
Jardinage,False,https://www.castorama.fr/jardinage/cat_id_0004335.cat
"Portail, portillon, porte de garage et motorisation",False,https://www.castorama.fr/jardin-et-terrasse/portail-portillon-porte-de-garage-et-motorisation/cat_id_3404.cat
"Parasol, tonnelle, store de terrasse et voile d'ombrage",False,https://www.castorama.fr/jardin-et-terrasse/parasol-tonnelle-store-de-terrasse-et-voile-d-ombrage/cat_id_1950.cat
Salon et mobilier de jardin,False,https://www.castorama.fr/jardin-et-terrasse/salon-de-jardin-table-chaise-et-fauteuil-de-jardin/cat_id_1519.cat
Piscine et spa,False,https://www.castorama.fr/jardin-et-terrasse/piscine-et-spa/cat_id_2181.cat
Jeux et jouets,False,https://www.castorama.fr/jardin-et-terrasse/balancoire-trampoline-et-toboggan/cat_id_1277.cat
Barbecue,False,https://www.castorama.fr/barbecue/cat_id_0003436.cat
Plancha,False,https://www.castorama.fr/plancha/cat_id_0003437.cat
Cuisine d'extérieur,False,https://www.castorama.fr/cuisine-dexterieur/cat_id_0002246.cat
Luminaire et éclairage extérieur,False,https://www.castorama.fr/luminaire-et-eclairage/luminaire-et-eclairage-exterieur/cat_id_1112.cat
Peinture extérieure,False,https://www.castorama.fr/peinture/peinture-exterieure/cat_id_2865.cat
"Arche, treillage et décoration du jardin",False,https://www.castorama.fr/jardin-et-terrasse/fontaine-statue-et-decoration-du-jardin/cat_id_1290.cat
Animalerie,False,https://www.castorama.fr/jardin-et-terrasse/abri-de-jardin-garage-carport-et-rangement/niche-poulailler-abri-et-nourriture-pour-animaux/cat_id_23.cat
Noël,False,https://www.castorama.fr/jardin-et-terrasse/noel/cat_id_0001879.cat
Tout pour déneiger,False,https://www.castorama.fr/jardin-et-terrasse/tout-pour-deneiger/cat_id_0005916.cat
Chauffe-eau,False,https://www.castorama.fr/plomberie/chauffe-eau/cat_id_2351.cat
Adoucisseur d'eau et filtre anti-calcaire,False,https://www.castorama.fr/plomberie/adoucisseur-d-eau-et-filtre-anti-calcaire/cat_id_2268.cat
Alimentation en eau,False,https://www.castorama.fr/plomberie/alimentation-en-eau/cat_id_2274.cat
Evacuation des eaux,False,https://www.castorama.fr/plomberie/evacuation-des-eaux/cat_id_2361.cat
Plomberie WC,False,https://www.castorama.fr/plomberie/plomberie-wc/cat_id_0002033.cat
Joint et clapet,False,https://www.castorama.fr/plomberie/joint-et-clapet/cat_id_2303.cat
Outils du plombier,False,https://www.castorama.fr/plomberie/outils-du-plombier/cat_id_1867.cat
"Mastic, cartouche joint et silicone",False,https://www.castorama.fr/materiaux-et-gros-oeuvre/materiaux/produit-d-etancheite/cartouche-joint-et-silicone/cat_id_592.cat
Etanchéité sanitaire,False,https://www.castorama.fr/materiaux-et-gros-oeuvre/materiaux/produit-d-etancheite/etancheite-sanitaire/cat_id_2397.cat
Soudure de plomberie,False,https://www.castorama.fr/plomberie/soudure-de-plomberie/cat_id_2409.cat
Débouchage canalisation,False,https://www.castorama.fr/plomberie/evacuation-des-eaux/entretien-et-debouchage/cat_id_2362.cat
Bouteille de gaz et raccordement,False,https://www.castorama.fr/outillage/soudure/bouteille-de-gaz-et-raccordement/cat_id_1218.cat
Trappe de visite,False,https://www.castorama.fr/plomberie/evacuation-des-eaux/trappe-de-visite/cat_id_2381.cat
"Visserie, boulonnerie et clouterie",False,https://www.castorama.fr/quincaillerie/vis-boulon-cheville-clou/cat_id_5273.cat
Quincaillerie de meuble,False,https://www.castorama.fr/quincaillerie/quincaillerie-de-meuble/cat_id_2966.cat
Quincaillerie d'assemblage,False,https://www.castorama.fr/quincaillerie/fixation-et-quincaillerie-d-assemblage/cat_id_5272.cat
Colle et adhésif,False,https://www.castorama.fr/quincaillerie/fixation-et-quincaillerie-d-assemblage/colle-et-adhesif/cat_id_4274.cat
Boite aux lettres et accessoire,False,https://www.castorama.fr/quincaillerie/securite-boites-aux-lettres/boite-aux-lettres-et-accessoire/cat_id_2892.cat
Quincaillerie extérieure,False,https://www.castorama.fr/quincaillerie/securite-boites-aux-lettres/cat_id_5271.cat
Serrure,False,https://www.castorama.fr/quincaillerie/serrure-verrou/cat_id_4667.cat
Sécurité des biens,False,https://www.castorama.fr/securite-des-biens/cat_id_0004894.cat
Sécurité porte et fenêtre,False,https://www.castorama.fr/quincaillerie/securite-boites-aux-lettres/securite-porte-et-fenetre/cat_id_3427.cat
