unique_id,category,subcategory,subsubcategory,subsubsubcategory,title,price,url
8055195007602_CAFR.prd,quincaillerie,securite-boites-aux-lettres,accessoire-pour-volet-fenetre-et-portail,,Batterie de secours pour portail Genius by FAAC,80,https://www.castorama.fr/quincaillerie/securite-boites-aux-lettres/accessoire-pour-volet-fenetre-et-portail/cat_id_2879.cat/batterie-de-secours-pour-portail-genius-by-faac/8055195007602_CAFR.prd
3308180026320_CAFR.prd,quincaillerie,securite-boites-aux-lettres,accessoire-pour-volet-fenetre-et-portail,,Barre de sécurité Afbat pour portes de garage 2-4 vantaux,109,https://www.castorama.fr/quincaillerie/securite-boites-aux-lettres/accessoire-pour-volet-fenetre-et-portail/cat_id_2879.cat/barre-de-securite-afbat-pour-portes-de-garage-2-4-vantaux/3308180026320_CAFR.prd
3660212501121_CAFR.prd,quincaillerie,securite-boites-aux-lettres,accessoire-pour-volet-fenetre-et-portail,,"Lot de 4 lames pvc L.1,80 m Protecta","20,90",https://www.castorama.fr/quincaillerie/securite-boites-aux-lettres/accessoire-pour-volet-fenetre-et-portail/cat_id_2879.cat/lot-de-4-lames-pvc-l-1-80-m-protecta/3660212501121_CAFR.prd
8055195019735_CAFR.prd,quincaillerie,securite-boites-aux-lettres,accessoire-pour-volet-fenetre-et-portail,,Photocellules BUS 24V Genius by FAAC,56,https://www.castorama.fr/quincaillerie/securite-boites-aux-lettres/accessoire-pour-volet-fenetre-et-portail/cat_id_2879.cat/photocellules-bus-24v-genius-by-faac/8055195019735_CAFR.prd
3308180029949_CAFR.prd,quincaillerie,securite-boites-aux-lettres,accessoire-pour-volet-fenetre-et-portail,,Barre de sécurité renforcée Afbat noire long 410 mm + accessoires,"16,90",https://www.castorama.fr/quincaillerie/securite-boites-aux-lettres/accessoire-pour-volet-fenetre-et-portail/cat_id_2879.cat/barre-de-securite-renforcee-afbat-noire-long-410-mm-accessoires/3308180029949_CAFR.prd
3660212501060_CAFR.prd,quincaillerie,securite-boites-aux-lettres,accessoire-pour-volet-fenetre-et-portail,,Attache lame de sécurité x3 Protecta,"15,90",https://www.castorama.fr/quincaillerie/securite-boites-aux-lettres/accessoire-pour-volet-fenetre-et-portail/cat_id_2879.cat/attache-lame-de-securite-x3-protecta/3660212501060_CAFR.prd
3660212200154_CAFR.prd,quincaillerie,securite-boites-aux-lettres,accessoire-pour-volet-fenetre-et-portail,,Manivelle complète ronde 12 blanche Protecta,"29,90",https://www.castorama.fr/quincaillerie/securite-boites-aux-lettres/accessoire-pour-volet-fenetre-et-portail/cat_id_2879.cat/manivelle-complete-ronde-12-blanche-protecta/3660212200154_CAFR.prd
3308183375043_CAFR.prd,quincaillerie,securite-boites-aux-lettres,accessoire-pour-volet-fenetre-et-portail,,Barre de sécurité Afbat longueur 410 mm renforcée + cadenas,"23,90",https://www.castorama.fr/quincaillerie/securite-boites-aux-lettres/accessoire-pour-volet-fenetre-et-portail/cat_id_2879.cat/barre-de-securite-afbat-longueur-410-mm-renforcee-cadenas/3308183375043_CAFR.prd
8055195043334_CAFR.prd,quincaillerie,securite-boites-aux-lettres,accessoire-pour-volet-fenetre-et-portail,,Crémaillère en nylon pour motorisation de portail longueur 1 m Genius by FAAC,"12,08",https://www.castorama.fr/quincaillerie/securite-boites-aux-lettres/accessoire-pour-volet-fenetre-et-portail/cat_id_2879.cat/cremaillere-en-nylon-pour-motorisation-de-portail-longueur-1-m-genius-by-faac/8055195043334_CAFR.prd
3308189567046_CAFR.prd,quincaillerie,securite-boites-aux-lettres,accessoire-pour-volet-fenetre-et-portail,,Arrêts de volets autobloquants à poignée Afbat,"31,90",https://www.castorama.fr/quincaillerie/securite-boites-aux-lettres/accessoire-pour-volet-fenetre-et-portail/cat_id_2879.cat/arrets-de-volets-autobloquants-a-poignee-afbat/3308189567046_CAFR.prd
